Small Unit Installation Postcode,Previous Years (2001-2016) - Installations Quantity,Previous Years (2001-2016) - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2060,104,492.41,0,0,0,0,1,5.28,3,18.28,2,13.32,1,5.035,2,7.025,2,8.76,0,0,1,3.84,1,21,0,0,0,0,2,15.74,2,6.69,1,6.16,1,5.4,0,0,0,0,123,608.94
2061,15,83.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.48,1,6.84,0,0,0,0,2,35.28,0,0,0,0,19,131.61
2062,69,195.989,2,6.12,0,0,1,3.48,2,10.2,0,0,1,5.94,2,8.06,1,19.24,0,0,0,0,4,24.77,3,13.895,2,9.3,0,0,0,0,2,12.54,1,5.7,2,16.865,0,0,92,332.099
2063,187,663.413,0,0,1,3.12,1,5.12,2,10.14,4,33.44,2,8.31,2,22.68,4,25.15,4,32.47,5,23.095,2,11.04,3,16.75,1,5.13,2,7,1,6.05,0,0,8,65.61,2,40.2,0,0,231,978.718
2064,126,585.176,3,19.24,3,55.16,1,5.12,0,0,0,0,2,29.76,1,5.44,0,0,4,18.145,2,61.87,2,15.73,4,146.27,2,39.87,3,52.62,0,0,5,20.75,4,22.235,0,0,2,13.56,164,"1,090.95"
2065,367,"1,178.89",1,4.485,4,19.135,4,16.8,3,11.67,4,19.28,1,3.24,1,5.28,3,11.2,3,16.11,0,0,4,27.09,3,10.86,2,11.22,4,20.595,1,5.4,9,47.365,2,8.93,1,5.36,4,22.941,421,"1,445.85"
2066,676,"2,219.35",4,18.755,8,37.23,6,24.6,8,33.888,6,47.964,1,6.09,12,78.275,6,35.45,6,51.6,5,27.465,12,132.163,9,60.2,10,62.19,7,36.03,10,72.54,10,65.395,9,76.745,5,24.425,8,51.62,818,"3,161.98"
2067,368,"1,082.29",1,5.12,2,12.099,1,5.4,4,42.9,3,8.64,2,6.72,5,23.46,5,16.725,4,32.05,6,99.85,8,61.865,4,26.095,1,3.12,5,17.86,5,35.2,6,32.18,7,38.36,1,6.51,2,36.58,440,"1,593.03"
2068,413,"1,263.55",2,22.99,4,22.55,7,39.125,5,21.2,6,25.115,2,20.44,2,10.51,6,27.32,5,21.67,0,0,6,29.92,8,50.855,6,33.425,8,49.58,6,29.89,1,6.57,2,12.56,4,20.45,1,7.37,494,"1,715.09"
2069,374,"1,204.68",2,9.88,2,8.64,2,15.56,3,26.55,10,47.43,5,32.691,3,13.17,6,36.22,3,16.77,1,10.26,3,16.31,5,31.77,3,22.43,2,7.6,7,45.055,3,16.806,8,95.02,5,38.52,2,16.2,449,"1,711.56"
