POA_CODE_2016,irradiation
POA3856,3.84
POA3857,3.84
POA3858,4.07
POA3859,4.3
POA3860,4.3
POA3862,4.7299999999999995
POA3864,4.04
POA3865,4.04
POA3869,3.84
POA3870,3.84
POA3871,3.84
POA3872,6.16
POA3873,3.84
POA3874,3.84
POA3875,4.034545454545454
POA3878,4.04
POA3880,4.04
POA3882,4.04
POA3885,4.062222222222221
POA3886,4.04
POA3887,4.04
POA3888,4.159999999999999
POA3889,4.156666666666667
POA3890,4.24
POA3891,3.99
POA3892,3.99
POA3893,4.04
POA3895,4.04
POA3896,4.3
POA3898,4.3
POA3900,4.3
POA3902,4.04
POA3903,4.04
POA3904,4.04
POA3909,4.02
POA3910,4.29
POA3911,4.125
POA3912,4.15
POA3913,4.15
POA3915,4.15
POA3916,4.15
POA3918,4.15
POA3919,4.15
POA3920,4.15
POA3922,4.15
POA3923,4.15
POA3925,4.15
POA3926,4.15
POA3927,4.15
POA3928,4.15
POA3929,4.15
POA3930,4.29
POA3931,4.15
POA3933,4.15
POA3934,4.15
POA3936,4.15
POA3937,4.15
POA3938,4.15
POA3939,4.15
POA3940,4.15
POA3941,4.133333333333334
POA3942,4.15
POA3943,4.15
POA3944,4.15
POA3945,4.15
POA3946,4.15
POA3950,4.15
POA3951,4.15
POA3953,3.964
POA3954,4.15
POA3956,4.1499999999999995
POA3957,4.15
POA3958,4.15
POA3959,4.28
POA3960,4.322
POA3962,4.54
POA3964,4.54
POA3965,4.54
POA3966,4.1899999999999995
POA3967,3.84
POA3971,3.8400000000000003
POA3975,4.29
POA3976,4.29
POA3977,4.25
POA3978,4.29
POA3979,4.15
POA3980,4.15
POA3981,4.1499999999999995
POA3984,4.1499999999999995
POA3987,4.15
POA3988,4.15
POA3990,4.15
POA3991,4.15
POA3992,4.15
POA3995,4.1499999999999995
POA3996,4.15
POA4000,4.904999999999999
POA4001,4.955
POA4003,5.31
POA4004,5.0
POA4005,5.0
POA4006,5.0
POA4007,5.0
POA4008,5.0
POA4009,5.0
POA4010,5.0
POA4011,5.0
POA4012,5.0
POA4013,5.0
POA4014,5.0
POA4017,5.0
POA4018,5.0
POA4019,5.0
POA4020,5.0
POA4021,
POA4022,4.97
POA4025,4.848
POA4029,
POA4030,5.0
POA4031,5.0
POA4032,5.0
POA4034,5.0
POA4035,5.0
POA4036,5.0
POA4037,5.0
POA4051,5.0
POA4053,5.0
POA4054,5.0
POA4055,5.0
POA4059,5.0
POA4060,5.0
POA4061,4.81
POA4064,4.81
POA4065,4.81
POA4066,4.81
POA4067,4.81
